latitude,longitude,building_density,road_density_km,industrial_presence,green_space_fraction
40.4,-3.6833,13773,1110.4696404074464,7,6439
40.4,-3.68,13119,1111.0583104162113,8,6880
40.4,49.88,1929,600.0022639512615,41,333
40.71,-74.01,7360,1097.8052729135984,5,11053
41.3167,69.25,8242,932.8709524828964,6,3179
41.32,69.25,9340,906.8657214882809,5,3159
41.3275,19.8189,11918,895.5747029154337,1,9125
41.33,19.82,13243,906.8882203813403,3,8720
41.725,44.7908,11403,862.0289690689768,23,781
41.73,44.79,10629,802.7368435950929,30,1011
41.9,12.45,7401,917.704323159227,3,4213
41.9,12.48,11847,1276.9982334329359,3,3970
41.9,12.4833,11868,1276.1424532831595,5,3645
41.904,12.453,8124,980.254322223951,1,4595
42.0,21.43,7372,674.2122547149578,10,420
42.0,21.4333,7157,664.8387758503812,11,329
42.44,19.26,8810,638.3790814639237,8,122
42.4411,19.2636,9340,600.9049170187379,7,121
42.5,1.5167,1576,367.534186410325,32,755
42.5,1.52,1684,364.81422077839864,31,770
42.67,21.17,16307,622.8476177398792,1,1295
42.68,23.32,8864,1128.4582550634825,4,1568
42.6833,23.3167,10347,1195.7200402327694,4,1603
42.87,74.6,9452,769.0185480461981,10,160
42.8731,74.6003,9751,756.7404108306166,10,157
43.3167,24.7,14,62.788413501310266,1,6
43.32,24.7,15,68.5007449796903,1,6
43.73,7.42,7147,376.1827122558421,1,665
43.7333,7.4167,9134,433.0562299184306,1,733
43.81,23.24,181,254.1522133864836,18,6
43.8139,23.2361,241,269.33977811950115,18,7
43.85,18.38,12209,510.4291264819403,13,2823
43.85,18.3833,11985,528.4168204135816,12,2988
43.93,12.45,2428,314.50718014440895,24,342
43.9333,12.45,2753,337.1443294876015,25,338
44.43,26.1,13283,754.234810239692,10,11984
44.4333,26.1,14423,736.5907127045697,10,11058
44.8,20.47,17019,998.0732468467353,9,1076
44.804,20.4651,15325,1033.1150073823462,12,1383
45.4167,-75.7,16798,1338.6471418514652,11,16646
45.42,-75.7,15465,1302.8073866216957,11,15185
45.8,16.0,10292,1095.9935421167172,20,8596
46.0553,14.5144,10784,1126.6542312243148,15,16140
46.06,14.51,10160,1163.8868044367348,19,17478
46.6,-120.49,6764,550.9317062563284,66,22
46.6167,9.9833,776,154.87769893963778,4,84
46.9167,7.4667,4967,431.85164285981324,4,1259
46.92,7.47,5875,476.9662815640402,5,1473
47.13,9.52,3321,453.16953630640126,11,2096
47.1333,9.5167,3213,447.5728670653957,10,1855
47.25,16.8333,211,83.91891061980002,0,12
47.5,19.08,9037,819.8064910958207,5,1200
47.5,19.0833,8891,815.8537629228101,6,1020
47.9167,106.9167,9701,909.0715089372525,7,1745
47.92,106.92,11232,890.571516982429,6,1705
48.0792,-123.0439,802,106.90430552986523,0,1
48.08,-123.04,728,99.26328847283702,0,1
48.15,17.1167,12189,1338.6125115209916,6,1584
48.15,17.12,12020,1358.316266385966,8,1536
48.2,16.3667,12786,1293.2495454550954,5,16041
48.2,16.37,12364,1309.948260622894,7,15607
48.8667,2.3333,22494,2269.763476924276,2,18933
48.87,2.33,23501,2150.8115958222515,2,20049
49.61,6.13,14243,987.3228318836937,16,5583
49.6117,6.13,14047,994.8601586022074,16,5615
50.08,14.47,11195,1300.635313297072,63,1653
50.0833,14.4667,11127,1315.9403598542094,50,1361
50.43,30.52,5110,1070.964766504544,24,1225
50.4333,30.5167,5413,1129.0326594144792,20,1675
50.6,4.1333,11853,227.2319312438779,9,1565
50.83,4.33,37124,1016.1110059461066,50,10100
50.8333,4.3333,36924,1101.4730699432314,50,10524
50.88,2.98,3964,209.90427656858267,6,135
51.1,4.75,4995,196.02496058251188,2,124
51.12,17.53,1958,235.02063926649308,5,70
51.18,71.43,5058,705.6059553898618,7,71
51.1811,71.4278,5197,689.2659841154734,7,69
51.25,3.63,1894,95.32562029947934,2,102
51.25,3.6333,1851,94.26811279981334,1,103
51.5171,-0.1062,16657,1694.6063998139407,26,10453
51.52,-0.11,17492,1655.9548065109639,22,9348
51.7,94.45,14429,627.3166641432064,9,0
52.25,21.0,5913,1805.1687617244675,35,14321
52.37,4.89,37163,1174.3187632239162,8,6518
52.374,4.8897,34838,1172.404466791783,8,6315
52.5167,13.4,11523,1537.0345667753213,3,13704
52.52,13.4,11839,1538.787192668741,3,14184
53.33,-6.25,32434,1175.425462587531,32,8908
53.33,21.62,227,108.33560680659494,0,3
53.3331,-6.2489,30874,1203.880018808371,38,8927
53.9,27.5667,3591,1542.7358994942404,100,791
53.9,27.57,3644,1527.1173818722107,109,701
54.68,25.32,6380,769.0235370994949,6,6648
54.6833,25.3167,6013,850.8155429766373,6,7924
55.6667,12.5833,9733,1150.048927908877,7,8233
55.67,12.58,9765,1179.7076863985983,7,9261
55.75,37.62,8201,1935.9099481120538,12,4322
55.7522,37.6156,8301,1948.9942386742855,10,4990
56.95,24.1,6467,1389.5124185393915,38,5796
59.13,44.3,0,80.25063233640435,0,0
59.33,18.05,7266,1632.927594549825,8,1856
59.3333,18.05,6946,1659.6441212873253,6,1842
59.43,24.73,11126,1632.4882496919097,26,6513
59.4339,24.7281,10300,1621.9072405310055,30,7203
59.89,30.26,2999,1103.0248118563698,66,349
59.9167,10.75,11237,1921.9282267672652,2,17339
59.92,10.75,11572,2028.3023625484184,2,19708
60.1756,24.9342,4691,2132.663934203935,18,9093
60.18,24.93,4577,2108.263322636805,24,8479
63.365,-20.2075,0,0.0,0,0
63.37,-20.21,0,0.0,0,0
63.83,-22.43,1093,211.90174403864052,2,0
64.15,-21.95,6757,861.494071906616,4,443
